T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9960000    0.031936000    -0.32230000   0.0043921600     0.99860000
      1.0000000     -1.9959000    0.032732760    0.089050000   0.0039927100     0.99865000
      1.0000000     -1.9952000    0.038307840     0.20993333   0.0043905956     0.99846667
      1.0000000     -1.9954000    0.036715360    0.061837500   0.0043161494     0.99851250
      1.0000000     -1.9955600    0.035441146     0.24530000   0.0043114736     0.99854000
      1.0000000     -1.9956333    0.034857062     0.29243333   0.0042251156     0.99856667
      1.0000000     -1.9959714    0.032163654     0.10990000   0.0038502335     0.99868571
      1.0000000     -1.9961250    0.030939938    0.054668750   0.0035813123     0.99875625
      1.0000000     -1.9960444    0.031581859     0.10835556   0.0035714721     0.99874444
      1.0000000     -1.9959400    0.032414066     0.11032500   0.0038230831     0.99868500
      1.0000000     -1.9959818    0.032080871     0.10474091   0.0038022836     0.99869545
      1.0000000     -1.9960167    0.031803199     0.10454583   0.0037849499     0.99870417
      1.0000000     -1.9961692    0.030587455    0.078123077   0.0037320956     0.99873846
      1.0000000     -1.9962714    0.029772962    0.086464286   0.0036368196     0.99877143
      1.0000000     -1.9962267    0.030129714     0.13941333   0.0037004500     0.99875333
      1.0000000     -1.9960375    0.031637194     0.12346250   0.0038307400     0.99870000
      1.0000000     -1.9960000    0.031936000     0.12919118   0.0038460891     0.99869118
      1.0000000     -1.9961111    0.031050617    0.071238889   0.0037712469     0.99872222
      1.0000000     -1.9959579    0.032271488    0.060215789   0.0039402760     0.99866842
      1.0000000     -1.9959000    0.032732760    0.051587500   0.0039477908     0.99865750
      1.0000000     -1.9960286    0.031708340    0.044845238   0.0038075505     0.99870238
      1.0000000     -1.9958818    0.032877617    0.053552273   0.0039609163     0.99865227
      1.0000000     -1.9958087    0.033460167    0.034147826   0.0040185841     0.99863043
      1.0000000     -1.9958333    0.033263889    0.046527083   0.0039884304     0.99863958
      1.0000000     -1.9959280    0.032509675    0.015952000   0.0039129031     0.99866800
      1.0000000     -1.9959462    0.032365035    0.031448077   0.0039352034     0.99866731
