T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9959047    0.032695386    -0.15217796   0.0053883475     0.99841772
      1.0000000     -1.9968354    0.025276398    -0.17204952   0.0032530494     0.99892964
      1.0000000     -1.9973939    0.020821679    -0.44790891   0.0024171485     0.99916232
      1.0000000     -1.9971147    0.023049350    -0.58544304   0.0029745862     0.99902271
      1.0000000     -1.9964259    0.028541606    -0.64618392   0.0036799219     0.99879002
      1.0000000     -1.9961529    0.030717667    -0.58693224   0.0039644169     0.99869695
      1.0000000     -1.9955324    0.035661040    -0.49097171   0.0043791179     0.99852409
      1.0000000     -1.9954859    0.036031669    -0.39533693   0.0044122013     0.99851080
      1.0000000     -1.9954910    0.035990489    -0.37190783   0.0044173722     0.99851080
      1.0000000     -1.9955324    0.035661040    -0.34865041   0.0044030043     0.99852010
      1.0000000     -1.9955324    0.035661040    -0.37085392   0.0044080711     0.99851926
      1.0000000     -1.9956255    0.034919731    -0.36421879   0.0042731343     0.99855733
      1.0000000     -1.9955897    0.035204858    -0.29880005   0.0042587737     0.99855375
      1.0000000     -1.9954260    0.036508167    -0.22405196   0.0043921773     0.99850415
      1.0000000     -1.9955820    0.035265684    -0.14818193   0.0041739611     0.99856664
      1.0000000     -1.9956953    0.034363703    -0.19798841   0.0040294051     0.99860969
      1.0000000     -1.9954886    0.036009868    -0.16016600   0.0043493687     0.99852175
      1.0000000     -1.9953669    0.036978753    -0.15809858   0.0043861613     0.99849528
      1.0000000     -1.9954344    0.036441292    -0.18044833   0.0044194323     0.99850100
      1.0000000     -1.9953649    0.036995223    -0.19350335   0.0045141350     0.99847357
      1.0000000     -1.9952665    0.037778686    -0.21284526   0.0046439690     0.99843545
      1.0000000     -1.9953970    0.036739185    -0.22657466   0.0045006895     0.99848118
      1.0000000     -1.9955000    0.035918871    -0.23764123   0.0043779001     0.99851889
      1.0000000     -1.9955634    0.035413945    -0.25805488   0.0043272029     0.99853794
      1.0000000     -1.9955622    0.035423829    -0.25987342   0.0043101699     0.99854058
