T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9969857     0.25091420     0.99916071    0.058599668     0.99916071
      1.0000000     -1.9970186     0.13742729     0.99920464    0.030099106     0.99920464
      1.0000000     -1.9971619    0.098694277     0.99925262    0.020541807     0.99925262
      1.0000000     -1.9971771    0.079735448     0.99926339    0.015786178     0.99926339
      1.0000000     -1.9972054    0.068324148     0.99927314    0.012941243     0.99927314
      1.0000000     -1.9972357    0.060497776     0.99928393    0.011018468     0.99928393
      1.0000000     -1.9972206    0.055314083     0.99928153   0.0096761738     0.99928153
      1.0000000     -1.9972116    0.051316375     0.99927955   0.0086682756     0.99927955
      1.0000000     -1.9972324    0.047976114     0.99928619   0.0078612698     0.99928619
      1.0000000     -1.9972089    0.045660951     0.99928071   0.0072427655     0.99928071
      1.0000000     -1.9971948    0.043731314     0.99927721   0.0067379117     0.99927721
      1.0000000     -1.9972150    0.041807986     0.99928298   0.0062914936     0.99928298
      1.0000000     -1.9972086    0.040427786     0.99928198   0.0059300415     0.99928198
      1.0000000     -1.9972010    0.039263836     0.99928051   0.0056217093     0.99928051
      1.0000000     -1.9972108    0.038109775     0.99928333   0.0053452222     0.99928333
      1.0000000     -1.9972036    0.037197709     0.99928192   0.0051086550     0.99928192
      1.0000000     -1.9971972    0.036398289     0.99928080   0.0048994021     0.99928080
      1.0000000     -1.9971981    0.035647033     0.99928115   0.0047130642     0.99928115
      1.0000000     -1.9971936    0.034969066     0.99928026   0.0045448968     0.99928026
      1.0000000     -1.9971885    0.034398473     0.99927921   0.0043963300     0.99927921
      1.0000000     -1.9971835    0.033916539     0.99927799   0.0042650199     0.99927799
      1.0000000     -1.9971842    0.033432565     0.99927815   0.0041434558     0.99927815
      1.0000000     -1.9971690    0.033091084     0.99927432   0.0040392293     0.99927432
      1.0000000     -1.9971670    0.032722079     0.99927390   0.0039388132     0.99927390
      1.0000000     -1.9971745    0.032275909     0.99927594   0.0038397822     0.99927594
      1.0000000     -1.9971734    0.031943145     0.99927569   0.0037536097     0.99927569
      1.0000000     -1.9971705    0.031637306     0.99927521   0.0036727828     0.99927521
      1.0000000     -1.9971656    0.031393029     0.99927413   0.0036006752     0.99927413
      1.0000000     -1.9971524    0.031204186     0.99927094   0.0035358592     0.99927094
      1.0000000     -1.9971508    0.030981607     0.99927048   0.0034739751     0.99927048
      1.0000000     -1.9971535    0.030693911     0.99927124   0.0034095937     0.99927124
      1.0000000     -1.9971488    0.030515930     0.99927029   0.0033540184     0.99927029
      1.0000000     -1.9971447    0.030322225     0.99926935   0.0033010926     0.99926935
      1.0000000     -1.9971507    0.030057334     0.99927109   0.0032450405     0.99927109
      1.0000000     -1.9971512    0.029872719     0.99927135   0.0031969320     0.99927135
      1.0000000     -1.9971554    0.029666854     0.99927258   0.0031490580     0.99927258
      1.0000000     -1.9971483    0.029554936     0.99927079   0.0031106611     0.99927079
      1.0000000     -1.9971474    0.029381560     0.99927062   0.0030691946     0.99927062
      1.0000000     -1.9971511    0.029175400     0.99927174   0.0030260600     0.99927174
      1.0000000     -1.9971435    0.029128673     0.99926961   0.0029989677     0.99926961
      1.0000000     -1.9971451    0.028994284     0.99927009   0.0029642776     0.99927009
      1.0000000     -1.9971449    0.028877258     0.99927003   0.0029328463     0.99927003
      1.0000000     -1.9971439    0.028762430     0.99926985   0.0029015367     0.99926985
      1.0000000     -1.9971431    0.028636011     0.99926971   0.0028707602     0.99926971
      1.0000000     -1.9971468    0.028488447     0.99927075   0.0028391167     0.99927075
      1.0000000     -1.9971436    0.028394285     0.99926997   0.0028125361     0.99926997
      1.0000000     -1.9971476    0.028266739     0.99927093   0.0027854054     0.99927093
      1.0000000     -1.9971452    0.028189284     0.99927036   0.0027617509     0.99927036
      1.0000000     -1.9971436    0.028128096     0.99927000   0.0027397846     0.99927000
      1.0000000     -1.9971461    0.028025155     0.99927059   0.0027162962     0.99927059
      1.0000000     -1.9971543    0.027861172     0.99927275   0.0026886082     0.99927275
      1.0000000     -1.9971540    0.027787926     0.99927266   0.0026677890     0.99927266
      1.0000000     -1.9971512    0.027741027     0.99927178   0.0026518669     0.99927178
      1.0000000     -1.9971437    0.027701874     0.99927001   0.0026338054     0.99927001
      1.0000000     -1.9971404    0.027644851     0.99926922   0.0026155275     0.99926922
      1.0000000     -1.9971418    0.027547055     0.99926966   0.0025949296     0.99926966
      1.0000000     -1.9971448    0.027457757     0.99927048   0.0025755391     0.99927048
      1.0000000     -1.9971465    0.027378840     0.99927091   0.0025579630     0.99927091
      1.0000000     -1.9971437    0.027352210     0.99927019   0.0025439991     0.99927019
      1.0000000     -1.9971425    0.027288639     0.99927001   0.0025272041     0.99927001
      1.0000000     -1.9971423    0.027227086     0.99927002   0.0025113502     0.99927002
      1.0000000     -1.9971417    0.027176932     0.99926992   0.0024965394     0.99926992
      1.0000000     -1.9971439    0.027104502     0.99927050   0.0024809181     0.99927050
      1.0000000     -1.9971461    0.027031284     0.99927108   0.0024657084     0.99927108
      1.0000000     -1.9971449    0.026981951     0.99927077   0.0024525198     0.99927077
      1.0000000     -1.9971456    0.026936559     0.99927093   0.0024400672     0.99927093
      1.0000000     -1.9971473    0.026873949     0.99927143   0.0024259677     0.99927143
      1.0000000     -1.9971489    0.026812242     0.99927190   0.0024122976     0.99927190
      1.0000000     -1.9971493    0.026757594     0.99927201   0.0023998953     0.99927201
      1.0000000     -1.9971490    0.026695833     0.99927198   0.0023870557     0.99927198
      1.0000000     -1.9971490    0.026647378     0.99927196   0.0023753684     0.99927196
      1.0000000     -1.9971504    0.026586984     0.99927232   0.0023638285     0.99927232
      1.0000000     -1.9971519    0.026530110     0.99927273   0.0023518168     0.99927273
      1.0000000     -1.9971516    0.026489247     0.99927270   0.0023412340     0.99927270
      1.0000000     -1.9971535    0.026446072     0.99927322   0.0023305824     0.99927322
      1.0000000     -1.9971534    0.026408237     0.99927320   0.0023209577     0.99927320
      1.0000000     -1.9971534    0.026370791     0.99927315   0.0023116093     0.99927315
      1.0000000     -1.9971579    0.026300768     0.99927433   0.0022997833     0.99927433
      1.0000000     -1.9971591    0.026255715     0.99927462   0.0022902711     0.99927462
