T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9972420     0.18042137     0.99924500    0.041361990     0.99924500
      1.0000000     -1.9971430     0.10235502     0.99924450    0.021503688     0.99924450
      1.0000000     -1.9971700    0.076044440     0.99925933    0.014869898     0.99925933
      1.0000000     -1.9971550    0.063096390     0.99925900    0.011577868     0.99925900
      1.0000000     -1.9971634    0.055145480     0.99926460   0.0095720747     0.99926460
      1.0000000     -1.9971655    0.049732244     0.99926692   0.0082315355     0.99926692
      1.0000000     -1.9971547    0.045941740     0.99926614   0.0072734386     0.99926614
      1.0000000     -1.9971652    0.042990677     0.99926956   0.0065537094     0.99926956
      1.0000000     -1.9971801    0.040665068     0.99927456   0.0059872699     0.99927456
      1.0000000     -1.9971822    0.038959201     0.99927570   0.0055465558     0.99927570
      1.0000000     -1.9971783    0.037500597     0.99927536   0.0051805063     0.99927536
      1.0000000     -1.9971671    0.036426167     0.99927300   0.0048860884     0.99927300
      1.0000000     -1.9971538    0.035563456     0.99927008   0.0046395003     0.99927008
      1.0000000     -1.9971689    0.034573728     0.99927414   0.0044125383     0.99927414
      1.0000000     -1.9971709    0.033855202     0.99927493   0.0042242447     0.99927493
      1.0000000     -1.9971739    0.033147598     0.99927600   0.0040538296     0.99927600
      1.0000000     -1.9971627    0.032657552     0.99927309   0.0039150515     0.99927309
      1.0000000     -1.9971703    0.032114528     0.99927536   0.0037812372     0.99927536
      1.0000000     -1.9971638    0.031715417     0.99927403   0.0036674480     0.99927403
      1.0000000     -1.9971607    0.031330237     0.99927332   0.0035645274     0.99927332
      1.0000000     -1.9971625    0.030909669     0.99927395   0.0034660943     0.99927395
      1.0000000     -1.9971636    0.030551835     0.99927439   0.0033784394     0.99927439
      1.0000000     -1.9971639    0.030238024     0.99927470   0.0032985300     0.99927470
      1.0000000     -1.9971652    0.029928344     0.99927519   0.0032243171     0.99927519
      1.0000000     -1.9971653    0.029626705     0.99927514   0.0031577112     0.99927514
      1.0000000     -1.9971654    0.029360069     0.99927535   0.0030939507     0.99927535
      1.0000000     -1.9971664    0.029135773     0.99927574   0.0030365498     0.99927574
      1.0000000     -1.9971601    0.028995861     0.99927421   0.0029884369     0.99927421
      1.0000000     -1.9971548    0.028856678     0.99927293   0.0029433069     0.99927293
      1.0000000     -1.9971585    0.028624884     0.99927392   0.0028941545     0.99927392
      1.0000000     -1.9971614    0.028444192     0.99927473   0.0028502038     0.99927473
      1.0000000     -1.9971590    0.028303934     0.99927412   0.0028114922     0.99927412
      1.0000000     -1.9971636    0.028108614     0.99927539   0.0027703421     0.99927539
      1.0000000     -1.9971664    0.027950613     0.99927610   0.0027347127     0.99927610
      1.0000000     -1.9971655    0.027826570     0.99927599   0.0027011499     0.99927599
      1.0000000     -1.9971649    0.027709128     0.99927582   0.0026700861     0.99927582
      1.0000000     -1.9971669    0.027570480     0.99927647   0.0026382521     0.99927647
      1.0000000     -1.9971667    0.027468673     0.99927646   0.0026106752     0.99927646
      1.0000000     -1.9971699    0.027339387     0.99927727   0.0025825769     0.99927727
      1.0000000     -1.9971686    0.027245556     0.99927691   0.0025577328     0.99927691
      1.0000000     -1.9971644    0.027183880     0.99927593   0.0025354579     0.99927593
      1.0000000     -1.9971629    0.027093458     0.99927546   0.0025133763     0.99927546
