T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.4000000     -1.2351180      1.5271351   -0.067126000      9.1498612     0.45586200
      2.4000000     -1.2381770      1.4660852   0.0070555000      8.7265525     0.46238800
      2.4000000     -1.2413240      1.4471977    0.044185167      8.7137668     0.46736183
      2.4000000     -1.2396567      1.4404194    0.011847625      8.8303614     0.46185762
      2.4000000     -1.2347354      1.4202849   0.0066238000      8.9431519     0.44911080
      2.4000000     -1.2349163      1.4053592   0.0072364167      8.7751581     0.45070792
      2.4000000     -1.2330157      1.4118960   0.0090631429      8.8564536     0.44688529
      2.4000000     -1.2313230      1.4030111  -0.0034428125      8.8684241     0.44331331
      2.4000000     -1.2330147      1.3993334   -0.011103944      8.7358511     0.44791728
      2.4000000     -1.2335642      1.4066154   -0.010334450      8.7685718     0.44864005
      2.4000000     -1.2349329      1.4160355   -0.027246727      8.7667694     0.45055909
      2.4000000     -1.2346853      1.4100849   -0.031391208      8.7648436     0.44966363
      2.4000000     -1.2342093      1.4104394   -0.032517577      8.7570150     0.44884373
      2.4000000     -1.2347302      1.4122097   -0.019815214      8.7955245     0.44893364
      2.4000000     -1.2343322      1.4090565   -0.022033767      8.8074802     0.44746863
      2.4000000     -1.2346623      1.4060170   -0.027320500      8.7936027     0.44866919
      2.4000000     -1.2358061      1.4163800   -0.014385559      8.8080718     0.45145938
      2.4000000     -1.2355587      1.4151532   -0.013681639      8.8021915     0.45112519
      2.4000000     -1.2353802      1.4112935   -0.018310158      8.7762866     0.45081605
      2.4000000     -1.2352569      1.4110167  -0.0095932750      8.7287297     0.45127393
      2.4000000     -1.2344014      1.4093469  -0.0073162381      8.7395656     0.44950767
      2.4000000     -1.2349532      1.4081913   -0.014683545      8.6967042     0.45084027
      2.4000000     -1.2342876      1.4028667   -0.013577848      8.6791619     0.44981485
      2.4000000     -1.2338479      1.4011652  -0.0094882500      8.6958209     0.44870454
      2.4000000     -1.2336292      1.3968852  -0.0041900400      8.6851289     0.44792904
      2.4000000     -1.2337365      1.3953205  -0.0027859808      8.6940173     0.44765894
      2.4000000     -1.2339463      1.3979013  -0.0088028889      8.6884743     0.44841207
      2.4000000     -1.2333564      1.3993816  -0.0078062500      8.7183233     0.44714989
      2.4000000     -1.2332581      1.4003967  -0.0088169483      8.7473244     0.44677216
      2.4000000     -1.2334034      1.4016471  -0.0051299333      8.7443806     0.44703677
      2.4000000     -1.2333129      1.4003833  -0.0026559516      8.7497136     0.44675898
      2.4000000     -1.2330317      1.3993271  -0.0051217187      8.7754142     0.44610256
      2.4000000     -1.2327472      1.3993695  -0.0047022273      8.7828132     0.44568889
      2.4000000     -1.2329680      1.3995907  -0.0033620000      8.7890941     0.44609097
      2.4000000     -1.2334739      1.3999627  -0.0026109286      8.7772164     0.44722593
      2.4000000     -1.2338406      1.4004429   0.0019355278      8.7780229     0.44808353
      2.4000000     -1.2342046      1.4019598   0.0017730405      8.7870024     0.44847277
      2.4000000     -1.2340722      1.4009670   0.0036309868      8.7995150     0.44790670
      2.4000000     -1.2343144      1.3998893   0.0014385000      8.7783548     0.44850586
      2.4000000     -1.2337586      1.3990176   0.0051019250      8.8058485     0.44701795
      2.4000000     -1.2339675      1.3983251   0.0044685732      8.7911250     0.44763750
      2.4000000     -1.2339398      1.3989628   0.0066080238      8.7924630     0.44760224
      2.4000000     -1.2337875      1.3998830   0.0049758721      8.8008181     0.44738234
      2.4000000     -1.2337953      1.4006880   0.0022193636      8.7992909     0.44773598
      2.4000000     -1.2341086      1.4011166  0.00082137778      8.8038168     0.44829504
      2.4000000     -1.2340290      1.4017171  -0.0032531848      8.8138733     0.44781449
      2.4000000     -1.2338013      1.4006336 -0.00017205319      8.8171338     0.44723227
      2.4000000     -1.2337604      1.4010011  -0.0031492604      8.8211254     0.44718795
      2.4000000     -1.2340697      1.4028953  0.00054113265      8.8227759     0.44791054
      2.4000000     -1.2342860      1.4024131  -0.0035323700      8.8238921     0.44830135
      2.4000000     -1.2341116      1.4026447  -0.0053821373      8.8373299     0.44796431
      2.4000000     -1.2341952      1.4033440  -0.0041684904      8.8460303     0.44805293
      2.4000000     -1.2344729      1.4050565  -0.0024028585      8.8488512     0.44872429
      2.4000000     -1.2346859      1.4047976  0.00021772222      8.8477711     0.44916478
      2.4000000     -1.2346893      1.4041878 -9.5627273E-05      8.8414497     0.44945068
      2.4000000     -1.2350583      1.4058412  -0.0026531250      8.8455774     0.45021062
      2.4000000     -1.2354573      1.4067563   0.0025605263      8.8456943     0.45105256
      2.4000000     -1.2356384      1.4084503   0.0046259052      8.8507584     0.45133380
      2.4000000     -1.2359302      1.4080334   0.0086821102      8.8388375     0.45210172
      2.4000000     -1.2359880      1.4073392   0.0064132667      8.8347655     0.45225315
      2.4000000     -1.2360938      1.4067910   0.0047586230      8.8293872     0.45249757
      2.4000000     -1.2362233      1.4076600   0.0061456613      8.8324625     0.45276440
      2.4000000     -1.2363820      1.4075148   0.0018638810      8.8204610     0.45330506
      2.4000000     -1.2362641      1.4063032  0.00071568750      8.8175990     0.45308436
      2.4000000     -1.2363474      1.4072254  0.00057513846      8.8329259     0.45304726
      2.4000000     -1.2361980      1.4062604 -0.00020171970      8.8237124     0.45286799
      2.4000000     -1.2362892      1.4059390  -0.0024902836      8.8240444     0.45301433
      2.4000000     -1.2361924      1.4048469 -0.00099740441      8.8234175     0.45285820
      2.4000000     -1.2360121      1.4051852  0.00083225362      8.8344922     0.45237614
      2.4000000     -1.2361943      1.4055358   0.0013411000      8.8290072     0.45274501
      2.4000000     -1.2361250      1.4053292 -0.00061830986      8.8305981     0.45248854
      2.4000000     -1.2364271      1.4055455  0.00093614583      8.8257700     0.45315315
      2.4000000     -1.2367005      1.4057313   0.0012755274      8.8192309     0.45374598
      2.4000000     -1.2368350      1.4072131   0.0011730946      8.8236332     0.45394628
      2.4000000     -1.2368769      1.4072214   0.0017887667      8.8202914     0.45413431
      2.4000000     -1.2371190      1.4084451   0.0015909868      8.8124359     0.45468841
      2.4000000     -1.2371062      1.4081791   0.0045988377      8.8174524     0.45455429
      2.4000000     -1.2369242      1.4083413   0.0033510513      8.8194765     0.45405723
      2.4000000     -1.2367372      1.4079798   0.0057742405      8.8192947     0.45373173
      2.4000000     -1.2366279      1.4085048   0.0046965187      8.8145869     0.45357601
      2.4000000     -1.2369232      1.4084562   0.0047120062      8.8065931     0.45425762
      2.4000000     -1.2371641      1.4091273   0.0029693293      8.8037177     0.45475393
      2.4000000     -1.2371502      1.4095063   0.0028339458      8.8120299     0.45465748
      2.4000000     -1.2372044      1.4111020   0.0019281012      8.8254468     0.45474654
      2.4000000     -1.2371129      1.4110932  0.00095012941      8.8299066     0.45453901
      2.4000000     -1.2371766      1.4104661   0.0015440465      8.8236951     0.45473921
      2.4000000     -1.2372520      1.4106297   0.0047273966      8.8215668     0.45495136
      2.4000000     -1.2373555      1.4107510   0.0052336250      8.8161346     0.45509602
      2.4000000     -1.2374397      1.4116816   0.0045545056      8.8197288     0.45515892
      2.4000000     -1.2375186      1.4108286   0.0052806056      8.8090497     0.45536926
      2.4000000     -1.2374414      1.4094798   0.0059956923      8.7983090     0.45529912
      2.4000000     -1.2374554      1.4094380   0.0059510815      8.7977122     0.45538376
      2.4000000     -1.2374667      1.4088161   0.0047691774      8.7927730     0.45542188
      2.4000000     -1.2372981      1.4088757   0.0038337553      8.7934155     0.45511371
      2.4000000     -1.2373483      1.4088159   0.0032638053      8.7922748     0.45511227
      2.4000000     -1.2373361      1.4082471   0.0037815990      8.7953859     0.45505343
      2.4000000     -1.2373711      1.4084686   0.0037236340      8.7910742     0.45521412
      2.4000000     -1.2374101      1.4093468   0.0047823980      8.7916495     0.45524797
      2.4000000     -1.2375809      1.4097847   0.0020670556      8.7917541     0.45557423
      2.4000000     -1.2374025      1.4094164   0.0018559200      8.7930826     0.45524381
      2.4000000     -1.2374541      1.4097263   0.0015041782      8.7858226     0.45548052
      2.4000000     -1.2375423      1.4101754   0.0012581961      8.7846413     0.45573302
      2.4000000     -1.2375877      1.4090605 -0.00016121845      8.7806658     0.45580634
      2.4000000     -1.2375382      1.4085484  0.00087580288      8.7816742     0.45563797
      2.4000000     -1.2375267      1.4085878   0.0024860619      8.7851948     0.45556109
      2.4000000     -1.2375106      1.4082907   0.0016961415      8.7812918     0.45552802
