T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6098396      1.1378050     0.83606393      1.7828081     0.83606393
      2.1600000     -1.5983131      1.1772267     0.82760560      2.1075787     0.82760560
      2.1700000     -1.5863800      1.2282818     0.81917996      2.4023089     0.81917996
      2.1800000     -1.5738523      1.2799728     0.80939794      2.8171938     0.80939794
      2.1900000     -1.5602447      1.3524412     0.79716547      3.8808292     0.79716547
      2.2000000     -1.5466507      1.4219914     0.78492254      5.1626660     0.78492254
      2.2100000     -1.5311831      1.5402024     0.76693069      8.7409240     0.76699119
      2.2200000     -1.5171322      1.5547910    -0.68648410      7.7223482     0.75513924
      2.2300000     -1.5005104      1.6863820     0.30584302      11.646988     0.73441548
      2.2400000     -1.4823037      1.8419647     0.27706151      18.306390     0.70716114
      2.2500000     -1.4634910      1.9662682    0.098799530      27.834497     0.67523346
      2.2600000     -1.4418060      2.1247242   0.0012592311      38.326526     0.63292437
      2.2700000     -1.4225934      2.1602135    -0.11896059      41.351385     0.60060694
      2.2800000     -1.3996917      2.2537442   -0.053990990      56.305274     0.54486042
      2.2900000     -1.3783872      2.2099119   -0.022125890      60.901046     0.49901355
      2.3000000     -1.3549876      2.1173257    0.012910211      64.561527     0.43567452
      2.3100000     -1.3362987      1.9777545    0.032521758      61.545306     0.39802923
      2.3200000     -1.3192333      1.8564070    0.054405644      57.717004     0.36630351
      2.3300000     -1.2996779      1.7031189    0.013633217      53.317108     0.31358629
      2.3400000     -1.2828584      1.5570482    0.012034093      47.297372     0.27717048
      2.3500000     -1.2677326      1.4646410    0.025470314      41.170146     0.25047632
      2.3600000     -1.2542647      1.3765204   0.0078908383      36.410292     0.23418386
      2.3700000     -1.2408194      1.2877773  -0.0078749611      31.631341     0.21127361
      2.3800000     -1.2278394      1.2430154    0.012681752      27.631683     0.19514301
