T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6096559      1.1440213     0.83561107      1.8524806     0.83561107
      2.1600000     -1.5979865      1.1798374     0.82728216      2.1162790     0.82728216
      2.1700000     -1.5859547      1.2305356     0.81822274      2.6123085     0.81822274
      2.1800000     -1.5734674      1.2840514     0.80843775      3.0632531     0.80843775
      2.1900000     -1.5604974      1.3441876     0.79776838      3.6321531     0.79776838
      2.2000000     -1.5465097      1.4115751     0.78501024      4.7347290     0.78501024
      2.2100000     -1.5317877      1.5155598     0.76995783      6.5539167     0.76995783
      2.2200000     -1.5164918      1.5978761     0.75330524      8.8395376     0.75330524
      2.2300000     -1.5001218      1.7053691     0.73265589      13.840496     0.73265589
      2.2400000     -1.4826600      1.8002254     0.70886749      17.544313     0.70886749
      2.2500000     -1.4629069      2.0956114     0.67125200      43.175430     0.67125200
      2.2600000     -1.4412028      2.4887749     0.60838729      227.79494     0.60875173
      2.2700000     -1.4153234      2.8788645     0.18874986      429.10918     0.50902888
      2.2800000     -1.3857021      2.7230715     0.14843635      639.30528     0.31941189
      2.2900000     -1.3621994      2.1142078    0.061878069      382.38373     0.22960285
      2.3000000     -1.3439095      1.9117256    0.037022653      269.37180     0.18742204
      2.3100000     -1.3252900      1.7376914  -0.0017700020      173.70176     0.13649385
      2.3200000     -1.3090212      1.5921552   0.0053751859      113.00716     0.11306821
      2.3300000     -1.2938361      1.5385375   0.0095928302      89.608486    0.095728303
      2.3400000     -1.2792557      1.4346630  -0.0050058297      71.301181    0.086900477
      2.3500000     -1.2654850      1.3835608   0.0016371929      54.809813    0.075316977
