T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6098066      1.1309580     0.83598621      1.7546949     0.83598621
      2.1600000     -1.5983536      1.1786434     0.82789263      2.0521297     0.82789263
      2.1700000     -1.5860118      1.2372398     0.81853804      2.5689288     0.81853804
      2.1800000     -1.5735552      1.2797649     0.80872366      3.0187792     0.80872366
      2.1900000     -1.5598620      1.3545690     0.79623333      4.2021019     0.79623333
      2.2000000     -1.5467706      1.4059938     0.78564223      4.4515174     0.78564223
      2.2100000     -1.5320104      1.4786314     0.77112659      5.6893083     0.77112659
      2.2200000     -1.5163770      1.5814941     0.75315071      8.2993795     0.75315071
      2.2300000     -1.5004259      1.7210163     0.73291539      14.852362     0.73291539
      2.2400000     -1.4829028      1.7992475     0.70961943      17.564604     0.70961943
      2.2500000     -1.4639014      1.9973872     0.16371713      38.872700     0.67543886
      2.2600000     -1.4420195      2.2799228     0.16466975      64.558915     0.62830997
      2.2700000     -1.4189270      2.3560643     0.31552738      87.948132     0.56909667
      2.2800000     -1.3948113      2.4494801   -0.088744915      142.65153     0.48675735
      2.2900000     -1.3705666      2.2640088    0.083524170      146.24858     0.40880627
      2.3000000     -1.3492934      2.1055231    0.040658291      143.23320     0.34167815
      2.3100000     -1.3276742      1.8491046  -0.0072260258      116.13415     0.26102247
      2.3200000     -1.3103094      1.6697148    0.021692508      95.476503     0.22753150
      2.3300000     -1.2945614      1.5317324   -0.025537742      76.056054     0.19817467
      2.3400000     -1.2797538      1.4585779   0.0040640658      62.088022     0.16811710
      2.3500000     -1.2656340      1.3682104  -0.0045895260      50.886434     0.15304974
      2.3600000     -1.2520108      1.3065136  -0.0049996404      42.555077     0.13495456
      2.3700000     -1.2397748      1.2605924   0.0033870170      35.971171     0.12608604
      2.3800000     -1.2275665      1.2239392   0.0062885190      31.358298     0.11842890
