T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6096559      1.1440213     0.83561107      1.8524806     0.83561107
      2.1600000     -1.5979865      1.1798374     0.82728216      2.1162790     0.82728216
      2.1700000     -1.5859547      1.2305356     0.81822274      2.6123085     0.81822274
      2.1800000     -1.5734674      1.2840514     0.80843775      3.0632531     0.80843775
      2.1900000     -1.5604974      1.3441876     0.79776838      3.6321531     0.79776838
      2.2000000     -1.5465097      1.4115751     0.78501024      4.7347290     0.78501024
      2.2100000     -1.5317877      1.5155598     0.76995783      6.5539167     0.76995783
      2.2200000     -1.5164918      1.5978761     0.75330524      8.8395376     0.75330524
      2.2300000     -1.5001218      1.7053691     0.73265589      13.840496     0.73265589
      2.2400000     -1.4826600      1.8002254     0.70886749      17.544313     0.70886749
      2.2500000     -1.4634110      2.0340878     0.67380014      36.615833     0.67380014
      2.2510000     -1.4611770      2.0801038     0.66776618      55.798737     0.66776618
      2.2520000     -1.4587358      2.1006091     0.66066829      69.821528     0.66066829
      2.2530000     -1.4573707      2.1177120     0.66114770      52.145181     0.66114770
      2.2540000     -1.4551093      2.2403270     0.65262658      103.54117     0.65296577
      2.2550000     -1.4526395      2.1536020     0.65032173      57.271863     0.65032173
      2.2560000     -1.4512769      2.1728517     0.64841194      65.695940     0.64841194
      2.2570000     -1.4476281      2.3810072   -0.065469612      169.50128     0.62702428
      2.2580000     -1.4461441      2.2640234     0.63492088      71.009950     0.63492088
      2.2590000     -1.4438418      2.2893385     0.62855043      82.275953     0.62855043
      2.2600000     -1.4423882      2.2824691     0.62606181      79.328750     0.62606181
      2.2610000     -1.4384327      2.4786402    -0.56997259      220.56485     0.59887088
      2.2620000     -1.4360231      2.4935160     0.60158382      144.23206     0.60169084
      2.2630000     -1.4333637      2.4843760     0.59127516      161.11700     0.59168120
      2.2640000     -1.4319757      2.4204565     0.59376926      134.69194     0.59377108
      2.2650000     -1.4269410      2.6159643     0.31001385      239.15618     0.55445876
      2.2660000     -1.4265038      2.7265151    -0.38913373      313.33386     0.55855017
      2.2670000     -1.4229429      2.6540441     0.54643784      270.57860     0.54658369
      2.2680000     -1.4187620      2.9125549     0.36015024      478.76248     0.50512099
      2.2690000     -1.4176509      2.7858347     0.22769892      389.75518     0.51603292
      2.2700000     -1.4146975      2.7612468     0.18612199      321.37219     0.50842826
      2.2710000     -1.4121958      2.8319745     0.13060294      385.83736     0.49665963
      2.2720000     -1.4103034      2.7338147    -0.31302524      322.62936     0.49858052
      2.2730000     -1.4084341      2.7519016    -0.30252298      359.92126     0.49373386
      2.2740000     -1.4020416      2.8548683     0.26158408      604.83641     0.41476693
      2.2750000     -1.4005973      2.8766901    0.055480739      473.06850     0.43271186
      2.2760000     -1.3986963      2.7370812   -0.054730205      498.20572     0.42613120
      2.2770000     -1.3968039      2.7870317     0.14195317      473.39419     0.42317339
      2.2780000     -1.3933524      2.6540492    0.021323267      473.22887     0.40290823
      2.2790000     -1.3906307      2.7042518    0.033637518      477.83389     0.39017072
      2.2800000     -1.3874797      2.6265481   0.0028178368      545.22597     0.35887847
      2.2810000     -1.3848847      2.6716115    0.013420481      532.93529     0.35183426
      2.2820000     -1.3833153      2.6516026    0.082305050      524.74513     0.35094678
      2.2830000     -1.3804982      2.4440694    0.030837758      480.88164     0.32298005
      2.2840000     -1.3752152      2.3835081   -0.015515565      475.31567     0.26328046
      2.2850000     -1.3741044      2.3858141    0.048075260      464.72994     0.28389317
      2.2860000     -1.3725726      2.4277894    0.021800564      462.87692     0.29304469
      2.2870000     -1.3702381      2.3606803     0.11761164      459.12281     0.27483755
      2.2880000     -1.3660231      2.1983607   -0.033746233      363.59367     0.22554999
      2.2890000     -1.3660781      2.2705926   0.0063034025      396.41245     0.27457655
      2.2900000     -1.3642728      2.1261155   -0.047220900      393.58783     0.24460041
      2.2910000     -1.3605921      2.0902187   0.0018681271      361.23024     0.21988342
      2.2920000     -1.3599240      2.1593778    0.011931223      379.90184     0.24209964
      2.2930000     -1.3576652      2.0534341   -0.016623744      341.05333     0.22462976
      2.2940000     -1.3548931      2.0387769  -0.0088666445      329.04399     0.20444220
      2.2950000     -1.3533974      1.9758158    0.044292862      310.72331     0.20506373
      2.2960000     -1.3518641      2.0450154    0.051494864      358.86961     0.21062289
      2.2970000     -1.3496964      2.0096880    0.030218603      315.96827     0.19827496
      2.2980000     -1.3464027      1.8799313    0.014183561      236.48361     0.16792900
      2.2990000     -1.3452262      1.8888974   -0.030399995      270.42992     0.18205856
      2.3000000     -1.3433842      1.8923774  -0.0070081798      256.78150     0.17529971
      2.3010000     -1.3420255      1.8658127    0.027474406      261.06452     0.18787173
      2.3100000     -1.3252900      1.7376914  -0.0017700020      173.70176     0.13649385
      2.3200000     -1.3090212      1.5921552   0.0053751859      113.00716     0.11306821
      2.3300000     -1.2938361      1.5385375   0.0095928302      89.608486    0.095728303
      2.3400000     -1.2792557      1.4346630  -0.0050058297      71.301181    0.086900477
      2.3500000     -1.2654850      1.3835608   0.0016371929      54.809813    0.075316977
