T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6099380      1.1406246     0.83582116      1.8212424     0.83582116
      2.1600000     -1.5979308      1.1820719     0.82747138      2.1002667     0.82747138
      2.1700000     -1.5858130      1.2405217     0.76484625      2.6589446     0.81794537
      2.1800000     -1.5739361      1.2840402     0.80921188      3.0398829     0.80924459
      2.1900000     -1.5593588      1.3836589    -0.49748323      4.7696974     0.79401744
      2.2000000     -1.5474488      1.3955692    -0.25430545      4.8615413     0.78586557
      2.2100000     -1.5328384      1.4563450    -0.14869270      5.4250486     0.77250086
      2.2200000     -1.5170130      1.5569651     0.40326197      6.9801007     0.75539658
      2.2300000     -1.5012071      1.6294857     0.20524005      8.4130958     0.73797542
      2.2400000     -1.4832111      1.7376468   -0.023304594      11.939091     0.71319915
      2.2500000     -1.4648276      1.8428614   -0.011855979      15.868567     0.68558108
      2.2600000     -1.4480047      1.8887866    -0.18067720      17.480525     0.66528912
      2.2700000     -1.4275653      1.9519286    0.069749643      20.106099     0.63366536
      2.2800000     -1.4084013      2.0228115   -0.050106970      25.270350     0.59876807
      2.2900000     -1.3873759      2.0252315   0.0084310525      27.724391     0.56212880
      2.3000000     -1.3712471      1.9782336  -0.0030038888      27.267888     0.54210571
      2.3100000     -1.3462409      1.9381001   -0.026836251      31.214020     0.48406015
      2.3200000     -1.3307166      1.8723511   -0.027759901      30.148069     0.46349684
      2.3300000     -1.3107682      1.7924942  -0.0087752675      29.815109     0.42541047
      2.3400000     -1.2936381      1.6969137   -0.034780834      29.102874     0.39434059
      2.3500000     -1.2769777      1.5975985   -0.029521728      28.027199     0.36166500
      2.3600000     -1.2608066      1.5154758   0.0013184787      26.114297     0.33338887
