T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.2510000     -1.4611770      2.0801038     0.66776618      55.798737     0.66776618
      2.2550000     -1.4526395      2.1536020     0.65032173      57.271863     0.65032173
      2.2590000     -1.4438418      2.2893385     0.62855043      82.275953     0.62855043
      2.2630000     -1.4333637      2.4843760     0.59127516      161.11700     0.59168120
      2.2670000     -1.4229429      2.6540441     0.54643784      270.57860     0.54658369
      2.2710000     -1.4121958      2.8319745     0.13060294      385.83736     0.49665963
      2.2750000     -1.4005973      2.8766901    0.055480739      473.06850     0.43271186
      2.2790000     -1.3906307      2.7042518    0.033637518      477.83389     0.39017072
      2.2830000     -1.3804982      2.4440694    0.030837758      480.88164     0.32298005
      2.2870000     -1.3702381      2.3606803     0.11761164      459.12281     0.27483755
      2.2910000     -1.3605921      2.0902187   0.0018681271      361.23024     0.21988342
      2.2950000     -1.3533974      1.9758158    0.044292862      310.72331     0.20506373
      2.2990000     -1.3452262      1.8888974   -0.030399995      270.42992     0.18205856
